method T E E_err C C_err M M_err X X_err
glauber 1.0 -25200.0 0.0 0.0 0.0 225.0 0.0 0.0 0.0
glauber 1.1 -25198.0 0.12961481378421327 0.2776859496250625 0.18956605421187153 224.4 0.04049691346262599 0.02981818181817123 0.02374313966036744
glauber 1.2000000000000002 -25197.6 0.11593101473044108 0.1866666691170798 0.06402707125734604 224.4 0.028982753492318627 0.01399999999994179 0.004802030087563351
glauber 1.3000000000000003 -25198.0 0.12961481378421327 0.1988165674830329 0.1357248080451861 224.4 0.04049691346262599 0.02523076923076027 0.020090348943387824
glauber 1.4000000000000004 -25192.0 0.19595917936182053 0.3918367344505931 0.12583675714618558 223.0 0.04898979485567841 0.03428571428573507 0.011010716340069072
glauber 1.5000000000000004 -25188.0 0.3046309241562916 0.8248888884650332 0.2199796293990509 222.0 0.0761577310586582 0.07733333333337211 0.02062309044845054
glauber 1.6000000000000005 -24310.4 0.44971101819982956 1.5799999991431821 1.031205237286822 221.4 0.11593101396952556 0.16800000000002904 0.09860035587324108
glauber 1.7000000000000006 -22590.8 0.4197141884976323 1.2191003462022556 0.36532762770152016 219.8 0.13914021704738463 0.22776470588227413 0.07648540713153971
glauber 1.8000000000000007 -22170.0 0.39698866485561257 0.9728395063200108 0.3584284858325344 219.0 0.12649110640673517 0.17777777777777773 0.08314160515715877
glauber 1.9000000000000008 -22142.0 0.588557558762232 1.9191135732751128 1.0199983600748772 209.4 0.22768399153211563 0.5456842105262788 0.3219823815811457
glauber 2.000000000000001 -21303.6 1.0498761832088304 5.511200000345703 2.86566500024439 203.2 0.3964341054954827 1.5716000000000343 0.7749013070090306
glauber 2.100000000000001 -12592.4 1.3687366437695807 8.496326530601426 2.83274331188078 179.6 0.8222165164967199 6.438476190476196 1.6435363336958548
glauber 2.200000000000001 -17739.6 0.5753607564141455 1.3679338843861875 0.499355680823689 183.2 0.5071094556404993 2.3378181818182124 1.6351204760832498
glauber 2.300000000000001 -9330.4 1.4413327166194543 7.854215500936157 3.136268927877553 174.2 0.8505057319030861 6.2900869565217725 2.6072060108201303
glauber 2.4000000000000012 -2280.8 1.2859860030341608 5.74222222222144 1.950923357150681 142.4 1.3775485472388984 15.813666666666654 4.74720327979126
glauber 2.5000000000000013 -7459.6 1.0452942169519286 3.4964479999780615 1.8805154821000878 122.2 0.8300361437913406 5.5116799999999895 2.128755794049707
glauber 2.6000000000000014 -382.8 1.2264420084129553 4.450177514792904 2.0483269330800424 77.6 1.7693049482777132 24.08030769230769 7.426528667163324
glauber 2.7000000000000015 -7435.2 1.0020778412897247 2.75489711935219 1.2513463288355857 12.4 2.6614357027739746 52.46844444444441 18.63511272818243
