method T M E
 kawasaki 1.0 -12 1178
 kawasaki 1.0 -12 1166.0
 kawasaki 1.0 -12 1050.0
 kawasaki 1.0 -12 1062.0
 kawasaki 1.0 -12 1070.0
 kawasaki 1.0 -12 1066.0
 kawasaki 1.0 -12 1038.0
 kawasaki 1.0 -12 1018.0
 kawasaki 1.0 -12 1010.0
 kawasaki 1.0 -12 990.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 1002.0
 kawasaki 1.0 -12 1006.0
 kawasaki 1.0 -12 998.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 994.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 990.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 966.0
 kawasaki 1.0 -12 970.0
 kawasaki 1.0 -12 986.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 978.0
 kawasaki 1.0 -12 970.0
 kawasaki 1.0 -12 950.0
 kawasaki 1.0 -12 962.0
 kawasaki 1.0 -12 974.0
 kawasaki 1.0 -12 970.0
 kawasaki 1.0 -12 974.0
 kawasaki 1.0 -12 958.0
 kawasaki 1.0 -12 954.0
 kawasaki 1.0 -12 946.0
 kawasaki 1.0 -12 950.0
 kawasaki 1.0 -12 934.0
 kawasaki 1.0 -12 934.0
 kawasaki 1.0 -12 922.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 938.0
 kawasaki 1.0 -12 938.0
 kawasaki 1.0 -12 942.0
 kawasaki 1.0 -12 954.0
 kawasaki 1.0 -12 942.0
 kawasaki 1.0 -12 946.0
 kawasaki 1.0 -12 950.0
 kawasaki 1.0 -12 922.0
 kawasaki 1.0 -12 922.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 926.0
 kawasaki 1.0 -12 930.0
 kawasaki 1.0 -12 926.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 898.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 910.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 914.0
 kawasaki 1.0 -12 918.0
 kawasaki 1.0 -12 910.0
 kawasaki 1.0 -12 894.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 890.0
 kawasaki 1.0 -12 902.0
 kawasaki 1.0 -12 910.0
 kawasaki 1.0 -12 914.0
