method T M E
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -138.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -138.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -138.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -138.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -138.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -142.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -162.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -146.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -154.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -150.0
 kawasaki 1.0 -20 -154.0
