method T E E_err C C_err M M_err X X_err
glauber 1.0 -3118752.652 0.25875301930605565 1.3390625 0.07920582442011709 2498.12 0.06736171019495363 0.0907520000077784 0.005553941845734373
glauber 1.1 -3118745.012 0.35079151571838224 2.033961776859504 0.10062700595916951 2496.136 0.09250677813080627 0.15559098182076755 0.008018810785559227
glauber 1.2000000000000002 -3108762.776 0.5021282829118472 3.501844618055555 0.15311839204054745 2492.38 0.13711163334874946 0.31332666665936504 0.01627404104510585
glauber 1.3000000000000003 -3098790.72 0.6319689593840824 4.726446930473371 0.20305987189077543 2486.932 0.17528084892888718 0.4726673230958672 0.02061952126229361
glauber 1.4000000000000004 -3014788.52 0.8830223754950947 7.956413424744893 0.38720106756012723 2477.984 0.25599949999995364 0.9362249142889464 0.049842376788593726
glauber 1.5000000000000004 -3054111.7 1.0879291538285019 10.520798611111104 0.45151174777000896 2466.182 0.3267703719755133 1.4237183466802035 0.06224308554262905
glauber 1.6000000000000005 -2927036.728 1.2648913768828136 12.499610900878897 0.5427307419424003 2448.516 0.40950426615610175 2.0961718000005924 0.09602912852089923
glauber 1.7000000000000006 -2936619.536 1.5855173396639344 17.396991241349472 0.7638933952164243 2425.386 0.5461602365608756 3.5093059294144884 0.17019662764634197
glauber 1.8000000000000007 -2922049.756 1.8865938429150562 21.97059461805554 0.9898330876572456 2391.4 0.715569703103133 5.689333333323398 0.2742494563114035
glauber 1.9000000000000008 -2840392.224 2.2469138991764903 27.970205375692498 1.2456639168968469 2344.894 0.9626986880643758 9.755671200009157 0.48662658773542533
glauber 2.000000000000001 -2616245.716 2.7449326537162073 37.67327636718747 1.764794092845037 2280.822 1.3477152206604104 18.16336315999738 0.9630360587036177
glauber 2.100000000000001 -2322989.076 3.455100961802708 54.13933177437637 2.4539990745615397 2165.13 2.4170558744058472 55.63961047618869 3.701626529454247
glauber 2.200000000000001 -2046870.732 4.436754613893612 81.34211365250509 3.754309924364717 1889.432 7.179297833075312 468.5665215999986 32.713855622025825
