method T M E
 kawasaki 1.0 -10 384.0
 kawasaki 1.0 -10 372.0
 kawasaki 1.0 -10 364.0
 kawasaki 1.0 -10 348.0
 kawasaki 1.0 -10 336.0
 kawasaki 1.0 -10 344.0
 kawasaki 1.0 -10 368.0
 kawasaki 1.0 -10 336.0
 kawasaki 1.0 -10 344.0
 kawasaki 1.1 -10 400
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 396.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 388.0
 kawasaki 1.1 -10 392.0
 kawasaki 1.1 -10 396.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 380.0
 kawasaki 1.1 -10 388.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 380.0
 kawasaki 1.1 -10 368.0
 kawasaki 1.1 -10 368.0
 kawasaki 1.1 -10 372.0
 kawasaki 1.1 -10 372.0
 kawasaki 1.1 -10 380.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.1 -10 380.0
 kawasaki 1.1 -10 384.0
 kawasaki 1.2000000000000002 -10 400
 kawasaki 1.2000000000000002 -10 416.0
 kawasaki 1.2000000000000002 -10 408.0
 kawasaki 1.2000000000000002 -10 396.0
 kawasaki 1.2000000000000002 -10 396.0
 kawasaki 1.2000000000000002 -10 408.0
 kawasaki 1.2000000000000002 -10 408.0
 kawasaki 1.2000000000000002 -10 412.0
 kawasaki 1.2000000000000002 -10 420.0
 kawasaki 1.2000000000000002 -10 404.0
 kawasaki 1.2000000000000002 -10 400.0
 kawasaki 1.2000000000000002 -10 396.0
 kawasaki 1.2000000000000002 -10 404.0
 kawasaki 1.2000000000000002 -10 420.0
 kawasaki 1.2000000000000002 -10 416.0
 kawasaki 1.2000000000000002 -10 432.0
 kawasaki 1.3000000000000003 -10 400
 kawasaki 1.3000000000000003 -10 392.0
 kawasaki 1.3000000000000003 -10 416.0
 kawasaki 1.3000000000000003 -10 400.0
 kawasaki 1.3000000000000003 -10 432.0
 kawasaki 1.3000000000000003 -10 404.0
 kawasaki 1.3000000000000003 -10 396.0
 kawasaki 1.3000000000000003 -10 384.0
 kawasaki 1.3000000000000003 -10 400.0
 kawasaki 1.3000000000000003 -10 396.0
 kawasaki 1.3000000000000003 -10 400.0
 kawasaki 1.3000000000000003 -10 404.0
 kawasaki 1.3000000000000003 -10 404.0
 kawasaki 1.4000000000000004 -10 400
 kawasaki 1.4000000000000004 -10 400.0
 kawasaki 1.4000000000000004 -10 380.0
 kawasaki 1.4000000000000004 -10 400.0
 kawasaki 1.4000000000000004 -10 392.0
 kawasaki 1.4000000000000004 -10 384.0
 kawasaki 1.4000000000000004 -10 400.0
 kawasaki 1.4000000000000004 -10 372.0
 kawasaki 1.4000000000000004 -10 384.0
 kawasaki 1.4000000000000004 -10 404.0
 kawasaki 1.4000000000000004 -10 372.0
 kawasaki 1.4000000000000004 -10 416.0
 kawasaki 1.4000000000000004 -10 396.0
 kawasaki 1.4000000000000004 -10 396.0
 kawasaki 1.4000000000000004 -10 368.0
 kawasaki 1.4000000000000004 -10 364.0
 kawasaki 1.4000000000000004 -10 388.0
 kawasaki 1.4000000000000004 -10 380.0
 kawasaki 1.4000000000000004 -10 396.0
 kawasaki 1.4000000000000004 -10 372.0
 kawasaki 1.5000000000000004 -10 400
 kawasaki 1.5000000000000004 -10 384.0
 kawasaki 1.5000000000000004 -10 416.0
 kawasaki 1.5000000000000004 -10 432.0
 kawasaki 1.5000000000000004 -10 440.0
 kawasaki 1.5000000000000004 -10 436.0
 kawasaki 1.5000000000000004 -10 436.0
 kawasaki 1.5000000000000004 -10 444.0
 kawasaki 1.5000000000000004 -10 424.0
 kawasaki 1.5000000000000004 -10 420.0
 kawasaki 1.5000000000000004 -10 396.0
 kawasaki 1.5000000000000004 -10 396.0
 kawasaki 1.5000000000000004 -10 432.0
 kawasaki 1.5000000000000004 -10 392.0
 kawasaki 1.6000000000000005 -10 400
 kawasaki 1.6000000000000005 -10 392.0
 kawasaki 1.6000000000000005 -10 324.0
 kawasaki 1.6000000000000005 -10 352.0
 kawasaki 1.6000000000000005 -10 340.0
 kawasaki 1.6000000000000005 -10 380.0
 kawasaki 1.6000000000000005 -10 372.0
 kawasaki 1.6000000000000005 -10 384.0
 kawasaki 1.6000000000000005 -10 364.0
 kawasaki 1.6000000000000005 -10 376.0
 kawasaki 1.6000000000000005 -10 396.0
 kawasaki 1.6000000000000005 -10 372.0
 kawasaki 1.6000000000000005 -10 408.0
 kawasaki 1.6000000000000005 -10 332.0
 kawasaki 1.6000000000000005 -10 332.0
 kawasaki 1.7000000000000006 -10 412.0
 kawasaki 1.7000000000000006 -10 392.0
 kawasaki 1.7000000000000006 -10 436.0
 kawasaki 1.7000000000000006 -10 396.0
 kawasaki 1.7000000000000006 -10 400.0
 kawasaki 1.7000000000000006 -10 404.0
 kawasaki 1.7000000000000006 -10 480.0
 kawasaki 1.7000000000000006 -10 420.0
 kawasaki 1.7000000000000006 -10 404.0
 kawasaki 1.7000000000000006 -10 424.0
 kawasaki 1.7000000000000006 -10 392.0
 kawasaki 1.7000000000000006 -10 452.0
 kawasaki 1.7000000000000006 -10 452.0
 kawasaki 1.7000000000000006 -10 376.0
 kawasaki 1.7000000000000006 -10 336.0
 kawasaki 1.8000000000000007 -10 400
 kawasaki 1.8000000000000007 -10 412.0
 kawasaki 1.8000000000000007 -10 380.0
 kawasaki 1.8000000000000007 -10 416.0
 kawasaki 1.8000000000000007 -10 384.0
 kawasaki 1.8000000000000007 -10 448.0
 kawasaki 1.8000000000000007 -10 400.0
 kawasaki 1.8000000000000007 -10 460.0
 kawasaki 1.8000000000000007 -10 448.0
 kawasaki 1.8000000000000007 -10 428.0
 kawasaki 1.8000000000000007 -10 396.0
 kawasaki 1.8000000000000007 -10 376.0
 kawasaki 1.8000000000000007 -10 392.0
 kawasaki 1.8000000000000007 -10 404.0
 kawasaki 1.8000000000000007 -10 420.0
 kawasaki 1.9000000000000008 -10 384.0
 kawasaki 1.9000000000000008 -10 420.0
 kawasaki 1.9000000000000008 -10 424.0
 kawasaki 1.9000000000000008 -10 460.0
 kawasaki 1.9000000000000008 -10 496.0
 kawasaki 1.9000000000000008 -10 328.0
 kawasaki 1.9000000000000008 -10 360.0
 kawasaki 1.9000000000000008 -10 380.0
 kawasaki 1.9000000000000008 -10 352.0
 kawasaki 2.000000000000001 -10 352.0
 kawasaki 2.000000000000001 -10 420.0
 kawasaki 2.000000000000001 -10 432.0
 kawasaki 2.000000000000001 -10 472.0
 kawasaki 2.000000000000001 -10 416.0
 kawasaki 2.000000000000001 -10 396.0
 kawasaki 2.000000000000001 -10 404.0
 kawasaki 2.000000000000001 -10 388.0
 kawasaki 2.000000000000001 -10 388.0
 kawasaki 2.000000000000001 -10 432.0
 kawasaki 2.000000000000001 -10 476.0
 kawasaki 2.000000000000001 -10 392.0
 kawasaki 2.000000000000001 -10 420.0
 kawasaki 2.000000000000001 -10 424.0
 kawasaki 2.000000000000001 -10 364.0
 kawasaki 2.000000000000001 -10 428.0
 kawasaki 2.000000000000001 -10 356.0
 kawasaki 2.000000000000001 -10 368.0
 kawasaki 2.100000000000001 -10 400
 kawasaki 2.100000000000001 -10 300.0
 kawasaki 2.100000000000001 -10 304.0
 kawasaki 2.100000000000001 -10 364.0
 kawasaki 2.100000000000001 -10 316.0
 kawasaki 2.100000000000001 -10 316.0
 kawasaki 2.100000000000001 -10 268.0
 kawasaki 2.100000000000001 -10 316.0
 kawasaki 2.100000000000001 -10 324.0
 kawasaki 2.100000000000001 -10 264.0
 kawasaki 2.100000000000001 -10 396.0
 kawasaki 2.100000000000001 -10 244.0
 kawasaki 2.100000000000001 -10 316.0
 kawasaki 2.100000000000001 -10 416.0
 kawasaki 2.100000000000001 -10 388.0
 kawasaki 2.100000000000001 -10 320.0
 kawasaki 2.200000000000001 -10 400.0
 kawasaki 2.200000000000001 -10 404.0
 kawasaki 2.200000000000001 -10 376.0
 kawasaki 2.200000000000001 -10 436.0
 kawasaki 2.200000000000001 -10 492.0
 kawasaki 2.200000000000001 -10 452.0
 kawasaki 2.200000000000001 -10 428.0
 kawasaki 2.200000000000001 -10 440.0
 kawasaki 2.200000000000001 -10 416.0
 kawasaki 2.200000000000001 -10 436.0
 kawasaki 2.200000000000001 -10 352.0
 kawasaki 2.200000000000001 -10 400.0
 kawasaki 2.200000000000001 -10 420.0
 kawasaki 2.200000000000001 -10 496.0
 kawasaki 2.200000000000001 -10 520.0
 kawasaki 2.200000000000001 -10 492.0
 kawasaki 2.300000000000001 -10 416.0
 kawasaki 2.300000000000001 -10 408.0
 kawasaki 2.300000000000001 -10 316.0
 kawasaki 2.300000000000001 -10 396.0
 kawasaki 2.300000000000001 -10 376.0
 kawasaki 2.300000000000001 -10 464.0
 kawasaki 2.300000000000001 -10 432.0
 kawasaki 2.300000000000001 -10 420.0
 kawasaki 2.300000000000001 -10 396.0
 kawasaki 2.300000000000001 -10 384.0
 kawasaki 2.300000000000001 -10 308.0
 kawasaki 2.300000000000001 -10 320.0
 kawasaki 2.300000000000001 -10 432.0
 kawasaki 2.300000000000001 -10 320.0
 kawasaki 2.4000000000000012 -10 308.0
 kawasaki 2.4000000000000012 -10 392.0
 kawasaki 2.4000000000000012 -10 356.0
 kawasaki 2.4000000000000012 -10 456.0
 kawasaki 2.4000000000000012 -10 324.0
 kawasaki 2.4000000000000012 -10 256.0
 kawasaki 2.4000000000000012 -10 280.0
 kawasaki 2.4000000000000012 -10 388.0
 kawasaki 2.4000000000000012 -10 424.0
 kawasaki 2.4000000000000012 -10 452.0
 kawasaki 2.4000000000000012 -10 328.0
 kawasaki 2.4000000000000012 -10 288.0
 kawasaki 2.4000000000000012 -10 272.0
 kawasaki 2.5000000000000013 -10 480.0
 kawasaki 2.5000000000000013 -10 324.0
 kawasaki 2.5000000000000013 -10 304.0
 kawasaki 2.5000000000000013 -10 280.0
 kawasaki 2.5000000000000013 -10 388.0
 kawasaki 2.5000000000000013 -10 460.0
 kawasaki 2.5000000000000013 -10 448.0
 kawasaki 2.5000000000000013 -10 400.0
 kawasaki 2.5000000000000013 -10 476.0
 kawasaki 2.5000000000000013 -10 548.0
 kawasaki 2.5000000000000013 -10 364.0
 kawasaki 2.5000000000000013 -10 488.0
 kawasaki 2.5000000000000013 -10 408.0
 kawasaki 2.5000000000000013 -10 384.0
 kawasaki 2.5000000000000013 -10 384.0
 kawasaki 2.5000000000000013 -10 324.0
 kawasaki 2.6000000000000014 -10 276.0
 kawasaki 2.6000000000000014 -10 416.0
 kawasaki 2.6000000000000014 -10 256.0
 kawasaki 2.6000000000000014 -10 172.0
 kawasaki 2.6000000000000014 -10 172.0
 kawasaki 2.6000000000000014 -10 248.0
 kawasaki 2.6000000000000014 -10 232.0
 kawasaki 2.6000000000000014 -10 212.0
 kawasaki 2.6000000000000014 -10 280.0
 kawasaki 2.6000000000000014 -10 216.0
 kawasaki 2.6000000000000014 -10 236.0
 kawasaki 2.6000000000000014 -10 364.0
 kawasaki 2.6000000000000014 -10 348.0
 kawasaki 2.6000000000000014 -10 244.0
 kawasaki 2.6000000000000014 -10 300.0
 kawasaki 2.7000000000000015 -10 412.0
 kawasaki 2.7000000000000015 -10 500.0
 kawasaki 2.7000000000000015 -10 472.0
 kawasaki 2.7000000000000015 -10 444.0
 kawasaki 2.7000000000000015 -10 372.0
 kawasaki 2.7000000000000015 -10 436.0
 kawasaki 2.7000000000000015 -10 396.0
 kawasaki 2.7000000000000015 -10 448.0
 kawasaki 2.7000000000000015 -10 540.0
 kawasaki 2.7000000000000015 -10 444.0
 kawasaki 2.7000000000000015 -10 488.0
 kawasaki 2.7000000000000015 -10 456.0
 kawasaki 2.8000000000000016 -10 556.0
 kawasaki 2.8000000000000016 -10 548.0
 kawasaki 2.8000000000000016 -10 436.0
 kawasaki 2.8000000000000016 -10 408.0
 kawasaki 2.8000000000000016 -10 512.0
 kawasaki 2.8000000000000016 -10 436.0
 kawasaki 2.8000000000000016 -10 488.0
 kawasaki 2.8000000000000016 -10 632.0
 kawasaki 2.8000000000000016 -10 480.0
 kawasaki 2.8000000000000016 -10 536.0
 kawasaki 2.8000000000000016 -10 424.0
 kawasaki 2.8000000000000016 -10 372.0
 kawasaki 2.8000000000000016 -10 592.0
 kawasaki 2.8000000000000016 -10 516.0
 kawasaki 2.8000000000000016 -10 512.0
 kawasaki 2.8000000000000016 -10 540.0
 kawasaki 2.9000000000000017 -10 552.0
 kawasaki 2.9000000000000017 -10 452.0
 kawasaki 2.9000000000000017 -10 392.0
 kawasaki 2.9000000000000017 -10 336.0
 kawasaki 2.9000000000000017 -10 584.0
 kawasaki 2.9000000000000017 -10 500.0
 kawasaki 2.9000000000000017 -10 512.0
 kawasaki 2.9000000000000017 -10 440.0
 kawasaki 2.9000000000000017 -10 396.0
 kawasaki 2.9000000000000017 -10 484.0
 kawasaki 2.9000000000000017 -10 412.0
 kawasaki 2.9000000000000017 -10 492.0
 kawasaki 2.9000000000000017 -10 504.0
 kawasaki 3.0000000000000018 -10 400
 kawasaki 3.0000000000000018 -10 576.0
 kawasaki 3.0000000000000018 -10 512.0
 kawasaki 3.0000000000000018 -10 408.0
 kawasaki 3.0000000000000018 -10 476.0
 kawasaki 3.0000000000000018 -10 368.0
 kawasaki 3.0000000000000018 -10 500.0
 kawasaki 3.0000000000000018 -10 480.0
 kawasaki 3.0000000000000018 -10 420.0
 kawasaki 3.0000000000000018 -10 496.0
 kawasaki 3.0000000000000018 -10 488.0
 kawasaki 3.0000000000000018 -10 424.0
 kawasaki 3.0000000000000018 -10 440.0
 kawasaki 3.0000000000000018 -10 444.0
 kawasaki 3.0000000000000018 -10 376.0
 kawasaki 3.0000000000000018 -10 448.0
