method T <M**2> <M>**2 X <E**2> <E>**2 C
 glauber 1.0 1.0 1.0 0.0 -49.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 30.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 110.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 190.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 270.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 350.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 430.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 510.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 590.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 670.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 750.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 830.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 910.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 989.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1068.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1148.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1228.5 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1308.5 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1388.5 E2 C(E1, E2)
 glauber 1.0 1.0 0.9603999999999999 0.003960000000000008 1468.26 E2 C(E1, E2)
 glauber 1.0 1.0 0.9603999999999999 0.003960000000000008 1547.54 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1627.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1707.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1787.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1867.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 1947.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2027.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2107.26 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2187.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2266.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2346.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2426.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2506.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2586.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2666.54 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2744.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2824.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2904.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 2984.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3064.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3144.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3224.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3304.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3384.02 E2 C(E1, E2)
 glauber 1.0 1.0 0.9603999999999999 0.003960000000000008 3464.02 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3543.18 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3623.18 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3703.18 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3783.18 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3863.18 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 3942.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4022.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4102.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4182.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4262.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4342.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4422.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4502.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4582.9 E2 C(E1, E2)
 glauber 1.0 1.0 0.9603999999999999 0.003960000000000008 4662.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4741.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4821.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4901.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 4981.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5061.94 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5141.78 E2 C(E1, E2)
 glauber 1.0 1.0 0.9603999999999999 0.003960000000000008 5221.74 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5301.34 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5381.34 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5461.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5541.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5621.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5700.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5780.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5860.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 5940.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6020.42 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6099.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6179.86 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6259.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6339.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6419.66 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6499.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6579.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6659.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6739.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6819.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6899.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 6979.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7058.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7138.9 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7218.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7298.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7378.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7458.58 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7538.34 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7618.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7698.1 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7777.74 E2 C(E1, E2)
 glauber 1.0 1.0 1.0 0.0 7857.5 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 -49.42 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 30.58 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 110.58 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 189.9 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 269.7 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 349.18 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 428.78 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 508.18 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 588.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 668.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 747.74 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 827.74 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 907.74 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 987.74 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 1067.62 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1146.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1226.46 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1306.1 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1385.86 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1465.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1545.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1625.7 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 1705.06 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 1784.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1864.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 1943.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2023.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2103.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2183.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2263.66 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2342.3 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 2421.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2500.5 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2580.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2659.74 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2739.74 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2818.82 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2898.66 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 2977.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3057.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3137.5 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3217.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3297.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3377.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3457.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3537.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3616.42 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3696.42 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3775.86 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 3855.86 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 3935.42 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4015.22 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4094.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4174.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4254.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4334.38 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4414.38 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4494.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4574.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4654.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4733.78 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4813.46 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4893.46 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 4973.3 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5052.94 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5132.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5212.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5292.7 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5372.54 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5452.54 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5532.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5612.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5692.14 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5771.98 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 5851.82 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 5931.38 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6011.22 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6091.22 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6171.22 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6251.22 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6330.78 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 6410.58 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6490.26 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6570.1 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6649.62 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6729.62 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6809.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6889.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 6969.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7049.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7129.34 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7209.02 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7288.78 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7368.78 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7448.54 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7527.98 E2 C(E1, E2)
 glauber 1.1 1.0 0.9603999999999999 0.0036000000000000073 7607.94 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7687.1 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7767.1 E2 C(E1, E2)
 glauber 1.1 1.0 1.0 0.0 7846.86 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 -49.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 30.58 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 110.58 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 190.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 270.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 350.14 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 430.14 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 510.14 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 589.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 669.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 749.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 829.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 909.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 989.38 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 1068.74 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1148.1 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1227.66 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1306.74 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1386.58 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1465.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1545.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1625.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1705.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1785.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1864.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1944.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2024.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2103.9 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9216 0.006533333333333335 2183.22 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2261.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2341.66 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2421.38 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2501.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2581.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2660.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2740.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2819.9 E2 C(E1, E2)
