method T M E
 kawasaki 1.0 8 1242.0
 kawasaki 1.0 8 253918.0
 kawasaki 1.0 8 761366.0
 kawasaki 1.0 8 1014130.0
 kawasaki 1.0 8 1269210.0
 kawasaki 1.0 8 1526506.0
 kawasaki 1.0 8 1783358.0
 kawasaki 1.0 8 2043126.0
 kawasaki 1.0 8 2297638.0
 kawasaki 1.0 8 2558106.0
 kawasaki 1.0 8 3077310.0
 kawasaki 1.0 8 3336694.0
 kawasaki 1.0 8 3855214.0
 kawasaki 1.0 8 4110658.0
 kawasaki 1.0 8 5414854.0
 kawasaki 1.0 8 5942366.0
 kawasaki 1.0 8 6206122.0
 kawasaki 1.0 8 6466870.0
 kawasaki 1.0 8 6999266.0
 kawasaki 1.0 8 7266330.0
 kawasaki 1.0 8 7531826.0
 kawasaki 1.0 8 7794550.0
 kawasaki 1.0 8 8063486.0
 kawasaki 1.0 8 9387374.0
 kawasaki 1.0 8 10185034.0
 kawasaki 1.0 8 10452834.0
 kawasaki 1.0 8 10986718.0
 kawasaki 1.0 8 11517858.0
 kawasaki 1.0 8 11787158.0
 kawasaki 1.0 8 12056042.0
 kawasaki 1.0 8 12321534.0
 kawasaki 1.0 8 12859026.0
 kawasaki 1.0 8 13660326.0
 kawasaki 1.0 8 13929370.0
 kawasaki 1.0 8 14194546.0
 kawasaki 1.0 8 14462102.0
 kawasaki 1.0 8 14732590.0
 kawasaki 1.0 8 15810438.0
 kawasaki 1.0 8 16078034.0
 kawasaki 1.0 8 17430010.0
 kawasaki 1.0 8 17698286.0
 kawasaki 1.0 8 18243026.0
 kawasaki 1.0 8 18514390.0
 kawasaki 1.0 8 18786206.0
 kawasaki 1.0 8 19596530.0
 kawasaki 1.0 8 20676618.0
 kawasaki 1.0 8 20946458.0
 kawasaki 1.0 8 21216574.0
 kawasaki 1.0 8 21757390.0
 kawasaki 1.0 8 22025954.0
 kawasaki 1.0 8 22567842.0
 kawasaki 1.0 8 23104642.0
 kawasaki 1.0 8 23375650.0
 kawasaki 1.0 8 23646850.0
 kawasaki 1.0 8 23916194.0
 kawasaki 1.0 8 24185574.0
 kawasaki 1.0 8 24460210.0
 kawasaki 1.0 8 25281746.0
 kawasaki 1.0 8 25557942.0
 kawasaki 1.0 8 26650626.0
 kawasaki 1.0 8 27196046.0
 kawasaki 1.0 8 28018222.0
 kawasaki 1.0 8 28836438.0
 kawasaki 1.0 8 29653890.0
 kawasaki 1.0 8 29925510.0
 kawasaki 1.0 8 31020590.0
 kawasaki 1.0 8 31297798.0
 kawasaki 1.0 8 31845298.0
 kawasaki 1.0 8 32392446.0
 kawasaki 1.0 8 32667386.0
 kawasaki 1.0 8 32940766.0
 kawasaki 1.0 8 33217330.0
 kawasaki 1.0 8 33489906.0
 kawasaki 1.0 8 34581318.0
 kawasaki 1.0 8 35673926.0
 kawasaki 1.0 8 35950822.0
 kawasaki 1.0 8 36772170.0
 kawasaki 1.0 8 37047114.0
 kawasaki 1.0 8 37594174.0
 kawasaki 1.0 8 38963790.0
 kawasaki 1.0 8 39514090.0
 kawasaki 1.0 8 40063670.0
 kawasaki 1.0 8 40336922.0
 kawasaki 1.0 8 42800150.0
 kawasaki 1.0 8 43075558.0
 kawasaki 1.0 8 43626866.0
 kawasaki 1.0 8 44724278.0
 kawasaki 1.0 8 44995494.0
 kawasaki 1.0 8 45811626.0
 kawasaki 1.0 8 46088102.0
 kawasaki 1.0 8 46362970.0
 kawasaki 1.0 8 47453334.0
 kawasaki 1.0 8 47726826.0
 kawasaki 1.0 8 48002666.0
 kawasaki 1.0 8 48827874.0
 kawasaki 1.0 8 50187638.0
 kawasaki 1.0 8 50462342.0
 kawasaki 1.0 8 50735302.0
 kawasaki 1.0 8 51287026.0
 kawasaki 1.0 8 52106102.0
 kawasaki 1.0 8 52380774.0
 kawasaki 1.0 8 52928214.0
 kawasaki 1.0 8 53202974.0
 kawasaki 1.0 8 53475518.0
 kawasaki 1.0 8 53747786.0
 kawasaki 1.0 8 54023074.0
 kawasaki 1.0 8 55118102.0
 kawasaki 1.0 8 55392286.0
 kawasaki 1.0 8 55942682.0
 kawasaki 1.0 8 56762246.0
 kawasaki 1.0 8 57310870.0
