method T E E_err C C_err M M_err X X_err
kawasaki 1.0 137030358.104 2595756.4610088184 53903612838.952194 3012090543715357.0 8.0 0.0 0.0 0.0
kawasaki 1.1 132893637.67213115 2483014.7521927226 40762725683.35 2250288987728387.2 8.0 0.0 0.0 0.0
kawasaki 1.2000000000000002 136271392.50996014 2517412.1071938053 35207576208.03308 1971302075853741.2 8.0 0.0 0.0 0.0
kawasaki 1.3000000000000003 137361629.7421875 2490985.242893327 29372816474.85125 1660908953852747.8 8.0 0.0 0.0 0.0
kawasaki 1.4000000000000004 129574752.19729207 2400439.538257588 23518816231.96041 1336367746662110.2 8.0 0.0 0.0 0.0
kawasaki 1.5000000000000004 132352094.91497976 2351311.4671928477 19657477744.898056 1091833790303436.2 8.0 0.0 0.0 0.0
kawasaki 1.6000000000000005 125014869.26482214 2379277.180870551 17690499698.16035 994444653104109.8 8.0 0.0 0.0 0.0
kawasaki 1.7000000000000006 127930990.39837398 2300578.124755627 14650961129.699972 812108144512268.5 8.0 0.0 0.0 0.0
kawasaki 1.8000000000000007 131341775.1031746 2309835.8829234466 13173683471.705517 739073719042835.0 8.0 0.0 0.0 0.0
kawasaki 1.9000000000000008 122700078.72365806 2267370.682474853 11392730884.756733 638523764188213.9 8.0 0.0 0.0 0.0
kawasaki 2.000000000000001 121152869.3530572 2248995.268932196 10115959439.358791 569214882622338.9 8.0 0.0 0.0 0.0
kawasaki 2.100000000000001 113387489.7165992 2079965.4551003948 7848083980.79091 435905466956699.94 8.0 0.0 0.0 0.0
kawasaki 2.200000000000001 105482359.504 1935627.8223269642 6192818291.844996 346049789745840.56 8.0 0.0 0.0 0.0
kawasaki 2.300000000000001 97295832.11029412 1828102.08710663 5053999608.141569 294577790091791.5 8.0 0.0 0.0 0.0
kawasaki 2.4000000000000012 88367466.29718876 1610973.7769746678 3604495152.916701 201013090160152.0 8.0 0.0 0.0 0.0
kawasaki 2.5000000000000013 81399897.01461378 1501659.009914887 2886374121.034951 157864860710594.97 8.0 0.0 0.0 0.0
kawasaki 2.6000000000000014 74882395.11646587 1408494.920854817 2347760878.193864 130928356488094.28 8.0 0.0 0.0 0.0
kawasaki 2.7000000000000015 72249382.36726546 1305313.7764026169 1869787714.5310938 104586687602901.05 8.0 0.0 0.0 0.0
kawasaki 2.8000000000000016 68269852.92339544 1227775.9703208942 1538197789.078991 84479414380652.2 8.0 0.0 0.0 0.0
kawasaki 2.9000000000000017 64572678.733333334 1162143.1005352903 1284733970.1515114 70339448567935.836 8.0 0.0 0.0 0.0
kawasaki 3.0000000000000018 61262726.12981744 1111901.497595766 1098955502.5384054 60977374099593.98 8.0 0.0 0.0 0.0
glauber 1.0 96640832.72 1823175.2081079383 66479356789188.48 1884075347367.9731 2498.21 0.06216027670650669 0.07727800000458956 0.004843149460348888
glauber 1.1 96482655.736 1820299.374513738 54768426658762.08 1552165760259.4355 2496.1 0.09164060235531357 0.15269090909172187 0.007064397970305954
glauber 1.2000000000000002 96225375.696 1815279.0489553213 45767194799668.55 1297071723397.5632 2492.508 0.13652082625267184 0.3106322666785369 0.015205091221167324
glauber 1.3000000000000003 95805296.02 1807780.5935713854 38675392597553.95 1096040774464.3751 2486.86 0.18805424749093042 0.5440676922981554 0.026921516177278636
glauber 1.4000000000000004 95228470.62 1796464.6710399485 32931482798925.184 933370387468.3766 2477.792 0.26091518928641644 0.9725248000052357 0.04734638382053227
glauber 1.5000000000000004 94423050.12 1780504.1913178016 28179512669335.617 798594075525.2645 2465.82 0.3180685460704121 1.3489013333246107 0.06212303452624717
glauber 1.6000000000000005 93274370.268 1759868.8380956906 24196393182033.39 685685774775.1862 2448.464 0.4391272070836722 2.410408800013828 0.1291514422003315
glauber 1.7000000000000006 91907215.684 1732959.6414143862 20783038884228.902 589122686966.783 2425.966 0.5407872446730091 3.4405981647179398 0.16348455734669923
glauber 1.8000000000000007 90142347.86 1698119.2979016027 17800056480900.184 504486170808.3525 2393.008 0.6837191938219309 5.194132622227899 0.22653267108753442
glauber 1.9000000000000008 87603609.596 1651853.7886541972 15117013512970.764 428568086195.95575 2345.948 0.9884519694961754 10.284603115798607 0.48197285493390063
glauber 2.000000000000001 84636671.008 1594100.9650637466 12705789434085.83 359986825692.5455 2279.774 1.3252686233366588 17.563369240006423 0.8749858598493161
glauber 2.100000000000001 80368950.712 1516626.9239050278 10431552046773.81 295473383146.5564 2168.664 2.2323205647932416 47.45957241903634 2.8638717728358163
glauber 2.200000000000001 75443690.276 1412276.2792987267 8241835905247.327 233568174901.10806 1957.074 6.141388322195536 342.8786411272699 33.81740100170933
