<I> <S> <R>
844 808 848
1121 425 954
1193 233 1074
1185 143 1172
1151 84 1265
1066 72 1362
988 58 1454
913 56 1531
827 64 1609
765 58 1677
719 61 1720
656 63 1781
611 66 1823
554 81 1865
520 81 1899
478 84 1938
449 94 1957
419 101 1980
382 106 2012
361 125 2014
339 146 2015
320 160 2020
303 166 2031
289 178 2033
271 191 2038
260 203 2037
242 224 2034
230 236 2034
211 256 2033
202 258 2040
190 274 2036
189 284 2027
171 300 2029
158 316 2026
151 336 2013
137 351 2012
126 361 2013
122 371 2007
110 392 1998
108 400 1992
101 419 1980
92 437 1971
89 449 1962
79 464 1957
76 479 1945
73 498 1929
71 516 1913
75 525 1900
71 539 1890
71 553 1876
59 565 1876
56 585 1859
52 604 1844
50 617 1833
47 636 1817
41 654 1805
41 666 1793
38 683 1779
33 712 1755
30 737 1733
29 753 1718
22 769 1709
19 782 1699
17 795 1688
17 812 1671
17 822 1661
16 841 1643
15 859 1626
14 868 1618
12 886 1602
11 906 1583
10 927 1563
6 937 1557
4 949 1547
4 961 1535
4 980 1516
5 994 1501
5 1007 1488
6 1022 1472
6 1033 1461
7 1043 1450
5 1058 1437
8 1066 1426
9 1081 1410
11 1094 1395
12 1105 1383
12 1116 1372
12 1134 1354
14 1146 1340
16 1158 1326
24 1160 1316
30 1162 1308
33 1167 1300
42 1169 1289
44 1166 1290
49 1171 1280
51 1173 1276
55 1176 1269
62 1176 1262
66 1180 1254
70 1184 1246
79 1187 1234
75 1184 1241
74 1190 1236
81 1186 1233
87 1180 1233
94 1177 1229
99 1174 1227
98 1177 1225
96 1180 1224
94 1185 1221
89 1191 1220
90 1187 1223
89 1191 1220
86 1196 1218
87 1195 1218
90 1197 1213
90 1197 1213
94 1201 1205
97 1195 1208
101 1198 1201
105 1191 1204
109 1199 1192
115 1196 1189
120 1189 1191
115 1195 1190
110 1198 1192
116 1200 1184
109 1209 1182
103 1209 1188
112 1197 1191
124 1186 1190
138 1168 1194
154 1147 1199
178 1118 1204
205 1080 1215
227 1044 1229
266 993 1241
290 948 1262
317 910 1273
343 865 1292
352 827 1321
362 801 1337
363 777 1360
363 757 1380
374 718 1408
353 707 1440
348 691 1461
345 671 1484
341 655 1504
334 643 1523
335 619 1546
325 606 1569
321 592 1587
328 575 1597
315 570 1615
300 572 1628
286 564 1650
277 557 1666
280 550 1670
284 538 1678
278 531 1691
286 514 1700
282 497 1721
297 470 1733
296 459 1745
290 443 1767
285 434 1781
280 432 1788
269 430 1801
272 419 1809
262 420 1818
247 421 1832
234 421 1845
220 428 1852
195 436 1869
177 438 1885
174 450 1876
167 457 1876
160 466 1874
142 480 1878
135 495 1870
128 507 1865
116 524 1860
108 537 1855
102 547 1851
94 568 1838
89 579 1832
84 597 1819
79 612 1809
72 617 1811
64 630 1806
62 643 1795
55 657 1788
53 676 1771
49 698 1753
39 715 1746
32 732 1736
28 750 1722
24 773 1703
21 798 1681
19 820 1661
15 843 1642
11 862 1627
12 874 1614
12 898 1590
12 915 1573
12 933 1555
13 950 1537
13 959 1528
12 970 1518
11 988 1501
11 1001 1488
10 1013 1477
10 1024 1466
9 1039 1452
6 1049 1445
6 1054 1440
6 1067 1427
5 1082 1413
5 1102 1393
5 1119 1376
4 1143 1353
4 1152 1344
5 1165 1330
4 1182 1314
4 1194 1302
4 1210 1286
3 1224 1273
3 1233 1264
3 1247 1250
2 1266 1232
2 1280 1218
2 1296 1202
2 1305 1193
1 1319 1180
1 1330 1169
1 1339 1160
1 1350 1149
1 1361 1138
1 1373 1126
1 1392 1107
1 1406 1093
1 1421 1078
1 1427 1072
1 1436 1063
1 1451 1048
1 1464 1035
1 1475 1024
1 1485 1014
1 1490 1009
1 1499 1000
1 1506 993
1 1517 982
1 1525 974
1 1535 964
1 1543 956
1 1555 944
1 1562 937
1 1573 926
1 1581 918
1 1586 913
1 1598 901
1 1603 896
1 1610 889
1 1613 886
1 1622 877
1 1632 867
1 1647 852
1 1655 844
1 1661 838
1 1671 828
1 1676 823
1 1682 817
2 1691 807
3 1695 802
5 1701 794
4 1707 789
9 1711 780
10 1713 777
16 1713 771
23 1710 767
32 1707 761
37 1711 752
44 1711 745
49 1710 741
51 1709 740
58 1703 739
72 1692 736
82 1681 737
92 1664 744
115 1640 745
133 1619 748
168 1577 755
166 1560 774
211 1508 781
236 1470 794
271 1416 813
310 1357 833
334 1309 857
374 1253 873
431 1179 890
450 1132 918
485 1062 953
528 972 1000
570 889 1041
608 800 1092
647 698 1155
671 612 1217
681 535 1284
682 466 1352
675 418 1407
660 375 1465
667 312 1521
663 278 1559
660 244 1596
649 212 1639
626 193 1681
603 179 1718
581 169 1750
545 158 1797
504 159 1837
460 169 1871
427 172 1901
387 181 1932
360 191 1949
344 199 1957
315 207 1978
289 223 1988
272 237 1991
256 241 2003
242 248 2010
219 260 2021
211 276 2013
195 295 2010
188 305 2007
168 314 2018
150 335 2015
149 339 2012
140 357 2003
129 371 2000
123 388 1989
119 404 1977
109 420 1971
96 437 1967
92 455 1953
82 479 1939
79 507 1914
76 525 1899
76 540 1884
75 550 1875
69 565 1866
72 571 1857
74 587 1839
66 603 1831
65 614 1821
55 636 1809
50 655 1795
47 683 1770
47 692 1761
46 707 1747
51 713 1736
52 728 1720
49 735 1716
51 748 1701
51 763 1686
43 777 1680
43 793 1664
43 811 1646
38 832 1630
37 851 1612
32 859 1609
34 869 1597
35 879 1586
34 889 1577
35 904 1561
37 921 1542
34 930 1536
31 942 1527
28 955 1517
29 966 1505
27 979 1494
25 992 1483
25 1005 1470
26 1018 1456
24 1031 1445
20 1047 1433
19 1060 1421
22 1072 1406
24 1079 1397
20 1093 1387
18 1108 1374
18 1114 1368
16 1123 1361
19 1129 1352
22 1137 1341
24 1142 1334
26 1157 1317
34 1154 1312
34 1163 1303
36 1166 1298
40 1168 1292
47 1168 1285
52 1170 1278
51 1180 1269
47 1188 1265
50 1196 1254
48 1202 1250
47 1210 1243
49 1211 1240
46 1216 1238
46 1226 1228
37 1240 1223
37 1251 1212
37 1260 1203
39 1266 1195
33 1281 1186
31 1286 1183
29 1298 1173
25 1310 1165
22 1319 1159
25 1327 1148
23 1337 1140
22 1346 1132
18 1356 1126
17 1364 1119
17 1371 1112
16 1383 1101
14 1396 1090
14 1406 1080
14 1413 1073
12 1425 1063
11 1430 1059
11 1442 1047
11 1450 1039
11 1456 1033
11 1471 1018
11 1483 1006
10 1493 997
11 1502 987
11 1510 979
11 1520 969
14 1528 958
12 1535 953
13 1548 939
15 1555 930
14 1558 928
11 1568 921
10 1578 912
10 1587 903
9 1591 900
10 1599 891
10 1607 883
10 1617 873
8 1628 864
8 1639 853
6 1645 849
3 1650 847
2 1657 841
2 1664 834
2 1674 824
7 1671 822
8 1684 808
7 1689 804
8 1690 802
8 1693 799
10 1695 795
14 1700 786
22 1696 782
34 1692 774
42 1692 766
48 1684 768
52 1680 768
59 1676 765
64 1671 765
78 1663 759
88 1654 758
113 1633 754
134 1605 761
158 1579 763
178 1550 772
197 1530 773
225 1491 784
254 1443 803
264 1410 826
297 1367 836
302 1345 853
336 1300 864
351 1254 895
375 1207 918
406 1153 941
421 1111 968
450 1045 1005
475 983 1042
496 933 1071
539 846 1115
563 779 1158
598 711 1191
619 624 1257
646 538 1316
