I_fi <I>
0.0 0.261016
0.005 0.25165200000000004
0.01 0.24707199999999996
0.015 0.24613199999999996
0.02 0.24432399999999999
0.025 0.24009600000000003
0.03 0.23523599999999997
0.035 0.23773599999999998
0.04 0.23073999999999995
0.045 0.22970400000000002
0.05 0.22335999999999998
0.055 0.22028000000000003
0.06 0.217036
0.065 0.20782
0.07 0.20844400000000005
0.075 0.206984
0.08 0.204652
0.085 0.20076800000000003
0.09 0.18952799999999997
0.095 0.196644
0.1 0.195688
0.105 0.18481199999999998
0.11 0.18897599999999998
0.115 0.17576799999999995
0.12 0.16888399999999998
0.125 0.16745999999999994
0.13 0.17432000000000003
0.135 0.155672
0.14 0.16384800000000002
0.145 0.163048
0.15 0.15659599999999999
0.155 0.13740400000000003
0.16 0.15189600000000003
0.165 0.138768
0.17 0.13422
0.17500000000000002 0.12875199999999998
0.18 0.127976
0.185 0.116876
0.19 0.10966800000000002
0.195 0.100624
0.2 0.09867200000000002
0.20500000000000002 0.10271199999999997
0.21 0.08682799999999999
0.215 0.08673200000000002
0.22 0.09527199999999998
0.225 0.074248
0.23 0.07739599999999999
0.23500000000000001 0.04616
0.24 0.06964400000000001
0.245 0.054828000000000016
0.25 0.029636
0.255 0.041564
0.26 0.040524000000000004
0.265 0.039692000000000005
0.27 0.03088
0.275 0.007088
0.28 0.013879999999999998
0.28500000000000003 0.022636000000000003
0.29 0.030303999999999998
0.295 0.026720000000000008
0.3 0.012432000000000004
0.305 0.004039999999999999
0.31 0.011916000000000003
0.315 0.00029600000000000004
0.32 0.013668
0.325 0.00012
0.33 0.00064
0.335 0.0016439999999999998
0.34 0.00132
0.34500000000000003 0.00029199999999999994
0.35000000000000003 0.00016
0.355 0.0
0.36 0.001436
0.365 0.000448
0.37 0.0
0.375 0.0046240000000000005
0.38 0.0
0.385 0.0014800000000000002
0.39 0.000672
0.395 0.0
0.4 0.0
0.5 0.0
0.6 0.0
0.7 0.0
0.7999999999999999 0.0
0.8999999999999999 0.0
