p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.0 0.5 0.0 0.0 0.0 0.34239999999999987 0.6576000000000002 0.0
0.0 0.5 0.05 0.0 0.0 0.9999568000000001 4.32e-05 0.0
0.0 0.5 0.1 0.0 0.0 0.9999956 4.4e-06 0.0
0.0 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.0 0.0 0.0 0.29519999999999996 0.7048 0.0
0.05 0.5 0.05 0.0 0.0 0.9998832 0.0001168 0.0
0.05 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.0 0.0 0.0 0.2599999999999999 0.7400000000000001 0.0
0.1 0.5 0.05 0.0 0.0 0.9999188 8.12e-05 0.0
0.1 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.0 0.0 0.0 0.24440000000000003 0.7556 0.0
0.15000000000000002 0.5 0.05 0.0 0.0 0.9997868000000001 0.00021320000000000006 0.0
0.15000000000000002 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.5 0.0 0.0 1.0 0.0 0.0
