<I> <S> <R>
782 871 847
1088 473 939
1209 243 1048
1180 151 1169
1128 99 1273
1070 82 1348
1003 71 1426
913 68 1519
835 70 1595
778 61 1661
712 63 1725
664 63 1773
611 61 1828
559 75 1866
510 91 1899
481 86 1933
441 98 1961
404 118 1978
367 131 2002
343 144 2013
317 149 2034
290 168 2042
263 176 2061
254 192 2054
235 207 2058
221 214 2065
204 231 2065
194 248 2058
182 262 2056
172 279 2049
159 288 2053
150 298 2052
138 321 2041
141 336 2023
131 347 2022
122 371 2007
115 390 1995
103 408 1989
93 426 1981
88 442 1970
87 461 1952
82 482 1936
82 494 1924
80 519 1901
76 534 1890
73 549 1878
70 556 1874
63 565 1872
58 587 1855
49 609 1842
42 624 1834
45 642 1813
44 662 1794
37 674 1789
34 693 1773
30 707 1763
27 717 1756
27 730 1743
27 753 1720
26 764 1710
24 783 1693
22 796 1682
22 812 1666
18 819 1663
15 828 1657
13 841 1646
12 858 1630
9 871 1620
8 892 1600
8 908 1584
8 919 1573
8 940 1552
7 955 1538
7 966 1527
6 983 1511
6 995 1499
5 1012 1483
5 1031 1464
5 1043 1452
4 1057 1439
4 1076 1420
6 1086 1408
9 1098 1393
13 1109 1378
18 1114 1368
17 1127 1356
15 1144 1341
15 1161 1324
16 1173 1311
16 1183 1301
15 1198 1287
14 1207 1279
15 1219 1266
13 1233 1254
14 1245 1241
15 1256 1229
20 1264 1216
20 1273 1207
21 1283 1196
18 1294 1188
