p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.0 0.5 0.0 0.0 0.0 0.3364 0.6635999999999999 0.0
0.0 0.5 0.05 0.0 0.0 0.9999356 6.44e-05 0.0
0.0 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.0 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.0 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.0 0.0 0.0 0.31320000000000003 0.6868 0.0
0.05 0.5 0.05 0.0 0.0 0.9998728 0.00012720000000000003 0.0
0.05 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.05 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.05 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.0 0.0 0.0 0.2511999999999999 0.7487999999999998 0.0
0.1 0.5 0.05 0.0 0.0 0.9998916 0.00010839999999999999 0.0
0.1 0.5 0.1 0.0 0.0 0.9999888 1.1200000000000001e-05 0.0
0.1 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.1 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
0.1 0.5 1.0 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.0 0.0 0.0 0.24840000000000007 0.7515999999999999 0.0
0.15000000000000002 0.5 0.05 0.0 0.0 0.9999159999999999 8.4e-05 0.0
0.15000000000000002 0.5 0.1 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.15000000000000002 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.2 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.25 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.30000000000000004 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.35000000000000003 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.4 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.45 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.5 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.55 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.6000000000000001 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.65 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.7000000000000001 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.75 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.8 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.8500000000000001 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.9 0.0 0.0 1.0 0.0 0.0
0.15000000000000002 0.5 0.9500000000000001 0.0 0.0 1.0 0.0 0.0
